sep=;
dias;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total
22;19071.20;18228.00;17578.90;17138.40;16830.10;16865.50;16919.70;17498.90;19655.10;22874.90;24190.80;24233.20;23497.10;22464.30;23312.10;25416.60;25232.90;24701.00;24082.40;24499.60;23132.60;22063.60;21509.40;20751.60;511747.90
23;19949.50;19193.20;18676.80;17974.30;17721.70;17626.00;17633.00;18032.20;19643.90;22538.90;22345.20;22858.70;22846.70;21609.60;22111.90;24074.20;24343.70;23680.90;23633.40;24060.30;22700.00;21670.80;21421.80;20813.20;507160.00
24;18610.40;18570.60;17953.60;18090.70;17570.50;17293.30;16979.00;17008.00;18416.70;20067.30;21251.30;21337.20;21201.80;19912.80;19969.90;20084.80;20104.60;21149.60;21815.10;22755.90;22086.50;21620.00;21243.70;20511.90;475605.40
25;19715.50;18971.00;18300.80;17732.30;14855.30;17187.90;17122.60;17847.70;20013.60;23041.80;24415.10;24380.90;23281.60;21996.80;22934.30;25222.40;24687.40;24271.50;23380.90;23900.00;22474.00;21690.10;21159.30;20269.30;508852.20
26;19185.40;17186.50;16756.20;16994.80;16810.20;16611.10;16548.60;17624.70;18387.90;21413.90;23308.60;24297.50;23418.50;22217.90;23068.90;25194.50;25293.30;24368.60;23650.60;24165.70;22901.40;21860.00;21461.40;20588.70;503314.90
27;19466.60;18621.40;17831.30;17498.50;17176.30;17172.60;17254.10;18090.30;20340.50;23153.00;23966.80;22352.80;22755.90;20969.80;16013.10;22349.50;22425.70;21465.30;21376.50;23732.10;22591.00;21634.80;20974.00;19807.90;489019.60
28;18683.90;18022.60;17332.00;16967.70;16695.10;16722.40;16895.70;17320.60;19694.40;22380.40;23494.00;23750.10;22483.40;20963.40;23086.30;25338.10;25042.00;24351.90;23493.90;24109.40;22800.60;21738.80;21049.90;20084.90;502501.30
1;19084.00;18359.90;17698.00;17137.40;16897.60;17022.20;17046.70;17859.10;20279.70;23027.50;22687.80;24184.30;23869.80;22880.10;23933.60;25991.60;25864.50;24933.60;24144.90;24596.60;23260.60;22282.00;21849.50;21027.40;515918.20
2;20168.20;19444.40;18817.60;18350.60;18015.50;17783.30;17620.60;17935.00;19697.50;22503.20;23716.70;23678.40;23042.70;21605.50;21963.70;23839.40;23646.20;22987.80;23208.00;23706.10;22625.80;21599.80;21133.30;20499.40;507588.80
3;19786.80;19162.10;18686.10;18176.60;17839.10;17528.20;17140.40;17124.70;18065.80;19817.80;20223.60;20557.30;20510.40;19378.30;19391.20;8987.90;18860.00;20126.70;20890.20;22060.70;21444.30;20926.70;20523.90;19114.20;456323.00
4;18060.00;17545.70;17630.80;17166.20;16870.30;16970.60;16996.60;17615.00;20110.30;22909.20;24411.30;24906.80;23821.90;22912.30;23991.20;25846.00;25826.60;24961.60;24235.80;24659.30;23369.70;22461.80;21892.00;20828.10;515999.10
5;19789.80;18920.60;18286.20;17846.80;17376.90;17257.70;17132.30;17771.00;20361.20;23249.60;24231.80;24246.30;23216.10;22489.70;23567.10;25553.80;25634.20;24678.70;24017.90;24146.80;22962.10;22075.00;21619.60;20585.20;517016.50
6;19533.20;18638.20;17970.60;17471.90;17140.60;17147.30;16746.20;17102.50;18916.10;21721.20;22857.20;23633.90;23003.00;22038.00;22979.60;25169.50;25338.10;24747.40;23690.70;23449.40;21578.00;21727.90;21147.90;20067.70;503816.30
7;19156.50;18371.80;17813.90;17292.20;16941.10;16877.80;16821.10;17798.20;20224.90;23174.30;24208.90;24509.00;23869.20;22803.30;23841.50;25779.20;25759.30;24810.20;23975.70;24295.50;22814.90;21987.80;21465.20;20429.30;515021.00
8;19454.80;18693.90;17951.00;17414.40;17073.60;17045.50;17006.10;17823.60;20433.20;23686.30;24867.40;25040.30;24156.60;23178.80;24216.90;26078.80;25787.50;24981.30;24208.50;24451.00;22924.10;21848.00;21470.10;20647.80;520439.70
9;19870.50;19143.90;18448.50;17636.20;11466.70;14771.10;15572.30;16590.40;19167.30;22532.30;23808.70;24109.10;23495.40;21875.10;22281.30;24156.10;24138.10;23340.30;23351.30;23938.90;22686.30;21569.20;21059.60;20382.20;495391.00
10;19668.90;19056.40;18467.70;17816.20;17419.60;17272.20;16981.30;17291.00;18574.70;20482.70;21848.40;21887.00;21708.20;20365.40;20509.00;20563.00;20679.30;21838.30;22469.40;23508.10;22700.00;22055.90;21452.60;20701.80;485317.40
11;19851.00;19276.80;18626.00;18105.10;17890.40;17883.90;17655.50;18403.20;21135.00;24013.70;25097.20;25406.20;24499.10;23465.40;24603.40;26645.00;26468.80;25501.00;24413.70;24787.50;23681.60;22822.30;22138.00;20933.30;533302.90
12;19858.50;19044.20;18296.40;17641.40;17213.00;17136.50;17150.80;18041.00;20583.40;23163.10;24303.40;24920.90;23771.90;22842.70;23958.60;25892.70;25970.30;25031.00;24167.20;24645.80;23504.20;22601.10;21845.90;20707.40;522291.20
13;19710.00;18951.00;18221.20;17657.40;17321.80;17223.40;17056.90;17959.90;19137.60;21552.50;22459.70;24374.60;23428.10;22417.20;23773.00;25692.00;25491.00;24712.20;23942.50;24263.20;23073.30;22290.40;21522.20;20377.90;512609.20
14;19125.90;18324.10;17701.70;17218.80;16805.10;16735.40;16614.10;17526.30;20184.50;23210.60;24444.60;24690.40;23581.00;22806.10;23968.10;25866.90;25686.20;24786.80;23848.60;24525.70;23553.00;22681.70;21971.40;20866.40;516723.50
15;19983.40;19259.90;18749.20;18322.20;18001.80;17928.10;17844.00;18825.70;21169.60;23801.90;25162.20;25308.80;24448.10;23648.10;24594.30;26689.50;26607.10;25681.40;24918.80;25200.80;23911.50;22727.80;22225.10;21405.90;536415.00
16;20588.30;19863.00;19250.80;18682.60;18368.60;18115.00;18052.20;18490.50;20298.20;23425.70;24287.60;24275.60;23422.40;21639.60;22305.40;24445.50;24650.80;23975.70;23778.30;24436.10;22727.90;21308.20;21269.00;20612.90;518269.60
17;19908.10;19240.90;18650.80;17991.00;17546.00;17351.90;16980.70;17337.00;18649.90;20268.10;21375.20;21572.70;21341.90;20010.40;20018.30;20290.60;20391.70;21280.40;21756.70;22581.10;21801.70;21415.40;21043.60;20258.30;479062.50
18;19456.10;18777.50;18250.60;17805.40;17481.60;17497.70;17339.10;18302.00;20925.90;23923.40;25136.20;25568.20;24673.20;23513.10;24328.70;25924.50;25902.10;24933.60;24000.10;24420.00;23065.50;22273.50;21789.80;20788.10;526075.80
